,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-04-01 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,46113,CANT. CONTACTOS ,5.0,0.0,0.0,,46128,CANT. CONTACTOS ,11.0,1.0,1.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1224.6,1224.6,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,0.0,0.0
2026-04-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,367.8,0.0,0.0
2026-04-03 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,0.0,0,,46114,CANT. CONTACTOS ,0.0,2.0,0.0,,46129,CANT. CONTACTOS ,17.0,4.0,1.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-04-04 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,13.0,13,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,5427.6,5427.6,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-04-05 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,4.0,4,,46115,CANT. CONTACTOS ,0.0,4.0,1.0,,46130,CANT. CONTACTOS ,14.0,5.0,0.0
