,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-08-01 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,7.0,9,,46235,CANT. CONTACTOS ,25.0,5.0,0.0,,46250,CANT. CONTACTOS ,40.0,7.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,611.6,3588.6,4200.2,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-08-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,2.0,2,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,289.3,289.3,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-08-03 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,4.0,5,,46236,CANT. CONTACTOS ,5.0,2.0,0.0,,46251,CANT. CONTACTOS ,12.0,5.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,59.9,862.1,922,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-08-04 00:00:00,CANTIDAD ,1.0,1.0,0.0,0.0,0.0,7.0,9,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,175.3,196.3,0.0,0.0,0.0,1822.1,2193.7,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-08-05 00:00:00,CANTIDAD ,0.0,1.0,0.0,1.0,0.0,5.0,7,,46237,CANT. CONTACTOS ,21.0,2.0,0.0,,46252,CANT. CONTACTOS ,,,
,MONTO ,0.0,166.3,0.0,214.8,0.0,1674.8,2055.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-06 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,8.0,8,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,0.0,0.0,0.0,0.0,0.0,1543.1,1543.1,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,,,
2026-08-07 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,8.0,10,,46238,CANT. CONTACTOS ,30.0,1.0,0.0,,46253,CANT. CONTACTOS ,,,
