,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-01-01 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,0.0,0,,46023,CANT. CONTACTOS ,0.0,3.0,0.0,,46039,CANT. CONTACTOS ,6.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,4.0,5,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,445.8,906.9,1352.7,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-03 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,1.0,1,,46024,CANT. CONTACTOS ,5.0,4.0,0.0,,46040,CANT. CONTACTOS ,5.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,239.0,239,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-04 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,1.0,1,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,518.0,518,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-05 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,1.0,4.0,6,,46025,CANT. CONTACTOS ,3.0,3.0,0.0,,46041,CANT. CONTACTOS ,9.0,3.0,0.0
,MONTO ,373.0,0.0,0.0,0.0,433.4,1584.0,2390.4,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-06 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,3.0,2.0,6,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,32.2,0.0,0.0,0.0,590.0,817.9,1440.1,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-07 00:00:00,CANTIDAD ,2.0,0.0,0.0,1.0,1.0,6.0,10,,46026,CANT. CONTACTOS ,8.0,2.0,0.0,,46042,CANT. CONTACTOS ,9.0,0.0,
,MONTO ,189.3,0.0,0.0,139.6,545.5,2265.8,3140.2,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-08 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,4.0,6,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,275.2,1515.4,1790.6,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-09 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,2.0,7.0,10,,46027,CANT. CONTACTOS ,9.0,3.0,0.0,,46043,CANT. CONTACTOS ,4.0,5.0,0.0
,MONTO ,0.0,0.0,0.0,350.0,278.2,1893.9,2522.1,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-10 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,4.0,6,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
