74852833.0,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-02-01 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,46054,CANT. CONTACTOS ,3.0,0.0,0.0,,46068,CANT. CONTACTOS ,2.0,6.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,2962.0,2962,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-02 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,1.0,1.0,4,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,628.0,0.0,0.0,0.0,562.4,249.5,1439.9,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-03 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,3.0,3,,46055,CANT. CONTACTOS ,3.0,2.0,0.0,,46069,CANT. CONTACTOS ,7.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,2072.0,2072,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-04 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,0.0,2,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,227.4,122.4,0.0,349.8,,,MONTO TOTAL,628.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-05 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,2.0,4,,46056,CANT. CONTACTOS ,7.0,1.0,0.0,,46070,CANT. CONTACTOS ,10.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,195.6,314.0,1304.0,1813.6,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-06 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,0.0,4.0,5,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,259.2,0.0,695.0,954.2,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-07 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,2.0,2,,46057,CANT. CONTACTOS ,9.0,0.0,0.0,,46071,CANT. CONTACTOS ,13.0,3.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,498.0,498,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-02-08 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,203.3,0.0,0.0
2026-02-09 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,6.0,6,,46058,CANT. CONTACTOS ,9.0,4.0,0.0,,46072,CANT. CONTACTOS ,5.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1912.0,1912,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-10 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,1.0,3.0,6,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,925.0,0.0,0.0,0.0,129.8,1434.0,2488.8,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-11 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,11.0,12.0,24,,46059,CANT. CONTACTOS ,3.0,2.0,0.0,,46073,CANT. CONTACTOS ,12.0,2.0,0.0
,MONTO ,309.0,0.0,0.0,0.0,3756.2,5015.6,9080.8,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-12 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,16.0,20.0,37,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,458.0,0.0,0.0,0.0,5136.6,8798.0,14392.6,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-13 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,2.0,2,,46060,CANT. CONTACTOS ,2.0,0.0,0.0,,46074,CANT. CONTACTOS ,15.0,4.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,832.8,832.8,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-14 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,3.0,5,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,103.6,279.0,1502.6,1885.2,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-15 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,2.0,2,,46061,CANT. CONTACTOS ,2.0,1.0,0.0,,46075,CANT. CONTACTOS ,34.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1067.0,1067,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
