,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-07-01 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,2.0,6.0,10,,46204,CANT. CONTACTOS ,13.0,7.0,0.0,,46219,CANT. CONTACTOS ,20.0,3.0,1.0
,MONTO ,119.0,0.0,0.0,442.6,719.5,3671.7,4952.8,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,1.0,1.0,0.0
2026-07-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,4.0,6.0,11,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,,0.0
,MONTO ,0.0,0.0,0.0,127.6,1119.6,2467.8,3715,,,MONTO TOTAL,119.0,0.0,0.0,,,MONTO TOTAL,355.2,429.8,0.0
2026-07-03 00:00:00,CANTIDAD ,1.0,0.0,0.0,3.0,2.0,8.0,14,,46205,CANT. CONTACTOS ,15.0,7.0,0.0,,46220,CANT. CONTACTOS ,7.0,5.0,0.0
,MONTO ,95.8,0.0,0.0,1491.2,213.64,1568.4,3369.04,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-04 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,10.0,13,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,436.0,2945.3,3381.3,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-05 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,3.0,5,,46206,CANT. CONTACTOS ,25.0,4.0,0.0,,46221,CANT. CONTACTOS ,19.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,477.7,570.7,1048.4,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-06 00:00:00,CANTIDAD ,1.0,0.0,0.0,2.0,3.0,5.0,11,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,75.6,0.0,0.0,1174.2,582.3,1076.2,2908.3,,,MONTO TOTAL,95.8,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-07 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,10.0,13,,46207,CANT. CONTACTOS ,15.0,2.0,0.0,,46222,CANT. CONTACTOS ,20.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,1688.4,2763.19,4451.59,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
