,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-06-01 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,1.0,8.0,10,,46174,CANT. CONTACTOS ,3.0,0.0,0.0,,46189,CANT. CONTACTOS ,9.0,0.0,0.0
,MONTO ,39.9,0.0,0.0,0.0,212.4,2413.3,2665.6,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-06-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,4.0,5.0,10,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,227.0,747.6,3913.4,4888,,,MONTO TOTAL,39.9,0.0,0.0,,,MONTO TOTAL,59.9,0.0,0.0
2026-06-03 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,2.0,8.0,11,,46175,CANT. CONTACTOS ,7.0,2.0,0.0,,46190,CANT. CONTACTOS ,15.0,1.0,0.0
,MONTO ,429.0,0.0,0.0,0.0,847.2,2451.4,3727.6,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,0.0,0.0
2026-06-04 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,6.0,8,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,549.6,1244.4,1794,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,233.6,0.0,0.0
2026-06-05 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,0.0,9.0,10,,46176,CANT. CONTACTOS ,11.0,1.0,0.0,,46191,CANT. CONTACTOS ,33.0,1.0,0.0
,MONTO ,112.0,0.0,0.0,0.0,0.0,1746.7,1858.7,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-06-06 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,10.0,10,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,3690.9,3690.9,,,MONTO TOTAL,429.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-06-07 00:00:00,CANTIDAD ,0.0,1.0,0.0,0.0,3.0,0.0,4,,46177,CANT. CONTACTOS ,8.0,3.0,0.0,,46192,CANT. CONTACTOS ,23.0,1.0,0.0
,MONTO ,0.0,139.9,0.0,0.0,456.83,0.0,596.73,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-06-08 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,0.0,1.0,2,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,163.5,0.0,0.0,0.0,0.0,348.9,512.4,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-06-09 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,0.0,2.0,3,,46178,CANT. CONTACTOS ,12.0,2.0,0.0,,46193,CANT. CONTACTOS ,19.0,0.0,0.0
,MONTO ,274.0,0.0,0.0,0.0,0.0,119.8,393.8,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-06-10 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,5.0,8,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,802.8,1295.3,2098.1,,,MONTO TOTAL,112.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-06-11 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,10.0,11,,46179,CANT. CONTACTOS ,8.0,0.0,0.0,,46194,CANT. CONTACTOS ,12.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,974.15,2343.55,3317.7,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-06-12 00:00:00,CANTIDAD ,0.0,0.0,0.0,2.0,1.0,12.0,15,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,725.0,123.6,3756.8,4605.4,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-06-13 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,13.0,14,,46180,CANT. CONTACTOS ,12.0,2.0,0.0,,46195,CANT. CONTACTOS ,31.0,5.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,257.0,3283.45,3540.45,,,CANT. VENTAS ,0.0,1.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-06-14 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,2.0,4,,,TASA DE VENTA ,0.0,,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,625.95,654.65,1280.6,,,MONTO TOTAL,0.0,139.9,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-06-15 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,2.0,5.0,8,,46181,CANT. CONTACTOS ,13.0,2.0,0.0,,46196,CANT. CONTACTOS ,48.0,3.0,0.0
,MONTO ,39.9,0.0,0.0,0.0,429.6,1010.81,1480.31,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
