,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-03-01 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,0.0,2.0,4,,46082,CANT. CONTACTOS ,5.0,1.0,0.0,,46097,CANT. CONTACTOS ,18.0,2.0,0.0
,MONTO ,246.2,0.0,0.0,0.0,0.0,292.6,538.8,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,2.0,9.0,12,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,346.0,463.5,3717.0,4526.5,,,MONTO TOTAL,246.2,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-03 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,0.0,7.0,9,,46083,CANT. CONTACTOS ,16.0,1.0,0.0,,46098,CANT. CONTACTOS ,9.0,1.0,0.0
,MONTO ,149.4,0.0,0.0,703.8,0.0,1903.7,2756.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-04 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,0.0,8.0,10,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,106.6,0.0,0.0,255.2,0.0,1892.6,2254.4,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-05 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,0.0,10.0,12,,46084,CANT. CONTACTOS ,10.0,3.0,0.0,,46099,CANT. CONTACTOS ,6.0,4.0,0.0
,MONTO ,335.9,0.0,0.0,0.0,0.0,1910.0,2245.9,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,1.0,0.0
2026-03-06 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,8.0,9,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,,0.0
,MONTO ,0.0,0.0,0.0,0.0,78.6,2961.9,3040.5,,,MONTO TOTAL,149.4,0.0,0.0,,,MONTO TOTAL,0.0,424.0,0.0
2026-03-07 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,9.0,11,,46085,CANT. CONTACTOS ,11.0,2.0,0.0,,46100,CANT. CONTACTOS ,12.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,628.9,1859.9,2488.8,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,3.0,1.0,0.0
2026-03-08 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,3.0,3,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,718.2,718.2,,,MONTO TOTAL,106.6,0.0,0.0,,,MONTO TOTAL,834.8,268.0,0.0
2026-03-09 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,3.0,5,,46086,CANT. CONTACTOS ,6.0,1.0,0.0,,46101,CANT. CONTACTOS ,6.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,556.4,864.0,1420.4,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-10 00:00:00,CANTIDAD ,3.0,0.0,0.0,0.0,7.0,7.0,17,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,712.4,0.0,0.0,0.0,222.3,1865.3,2800,,,MONTO TOTAL,335.9,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-11 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,3.0,7.0,11,,46087,CANT. CONTACTOS ,6.0,1.0,0.0,,46102,CANT. CONTACTOS ,4.0,0.0,0.0
,MONTO ,244.8,0.0,0.0,0.0,820.0,1997.7,3062.5,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-12 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,3.0,7.0,11,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,146.4,0.0,0.0,0.0,1205.8,1689.7,3041.9,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-13 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,9.0,10,,46088,CANT. CONTACTOS ,7.0,5.0,0.0,,46103,CANT. CONTACTOS ,9.0,4.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,206.4,1355.5,1561.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-14 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,18.0,18,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,5064.2,5064.2,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-15 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,6.0,6,,46089,CANT. CONTACTOS ,0.0,3.0,0.0,,46104,CANT. CONTACTOS ,10.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1850.5,1850.5,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-16 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,4.0,8.0,12,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,878.2,1851.9,2730.1,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-17 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,8.0,11,,46090,CANT. CONTACTOS ,23.0,3.0,0.0,,46105,CANT. CONTACTOS ,8.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,1509.0,2288.9,3797.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-03-18 00:00:00,CANTIDAD ,0.0,1.0,0.0,1.0,1.0,6.0,9,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,424.0,0.0,127.6,321.6,1093.8,1967,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,352.8,0.0,0.0
2026-03-19 00:00:00,CANTIDAD ,3.0,1.0,0.0,1.0,0.0,6.0,11,,46091,CANT. CONTACTOS ,5.0,0.0,0.0,,46106,CANT. CONTACTOS ,6.0,0.0,0.0
,MONTO ,834.8,268.0,0.0,306.6,0.0,2854.6,4264,,,CANT. VENTAS ,3.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
