,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-05-01 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,0.0,1,,46143,CANT. CONTACTOS ,0.0,0.0,0.0,,46158,CANT. CONTACTOS ,52.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,454.8,0.0,454.8,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,0.0,0.0
2026-05-02 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,9.0,9,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,143.6,5085.0,5228.6,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,837.4,0.0,0.0
2026-05-03 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,2.0,3,,46144,CANT. CONTACTOS ,5.0,1.0,0.0,,46159,CANT. CONTACTOS ,56.0,1.0,2.0
,MONTO ,0.0,0.0,0.0,0.0,74.9,1089.2,1164.1,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-04 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,5.0,7,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,348.9,2282.1,2631,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-05 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,1.0,3.0,6,,46145,CANT. CONTACTOS ,14.0,2.0,0.0,,46160,CANT. CONTACTOS ,21.0,1.0,0.0
,MONTO ,378.8,0.0,0.0,0.0,143.28,437.0,959.08,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,0.0,0.0
2026-05-06 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,0.0,7.0,9,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,378.8,0.0,0.0,0.0,0.0,2114.9,2493.7,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,584.4,0.0,0.0
2026-05-07 00:00:00,CANTIDAD ,0.0,1.0,0.0,1.0,3.0,6.0,11,,46146,CANT. CONTACTOS ,12.0,6.0,,,46161,CANT. CONTACTOS ,27.0,2.0,0.0
,MONTO ,0.0,146.4,0.0,189.0,591.2,872.4,1799,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-08 00:00:00,CANTIDAD ,2.0,0.0,0.0,2.0,1.0,10.0,15,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,204.4,0.0,0.0,1006.8,164.4,2943.8,4319.4,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-09 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,7.0,8,,46147,CANT. CONTACTOS ,10.0,0.0,0.0,,46162,CANT. CONTACTOS ,12.0,0.0,2.0
,MONTO ,0.0,0.0,0.0,0.0,333.9,2162.7,2496.6,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-05-10 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,1.0,1,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,59.9,59.9,,,MONTO TOTAL,378.8,0.0,0.0,,,MONTO TOTAL,69.0,0.0,0.0
2026-05-11 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,2.0,4.0,7,,46148,CANT. CONTACTOS ,6.0,1.0,0.0,,46163,CANT. CONTACTOS ,12.0,1.0,1.0
,MONTO ,658.0,0.0,0.0,0.0,540.4,1324.0,2522.4,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,3.0,0.0,0.0
2026-05-12 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,2.0,3.0,7,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,330.6,0.0,0.0,221.0,275.0,707.0,1533.6,,,MONTO TOTAL,378.8,0.0,0.0,,,MONTO TOTAL,511.0,0.0,0.0
2026-05-13 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,1.0,4.0,7,,46149,CANT. CONTACTOS ,14.0,3.0,0.0,,46164,CANT. CONTACTOS ,14.0,0.0,0.0
,MONTO ,197.4,0.0,0.0,462.6,289.0,1293.9,2242.9,,,CANT. VENTAS ,0.0,1.0,0.0,,,CANT. VENTAS ,6.0,0.0,0.0
2026-05-14 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,0.0,7.0,8,,,TASA DE VENTA ,0.0,,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,333.3,0.0,0.0,0.0,0.0,2604.8,2938.1,,,MONTO TOTAL,0.0,146.4,0.0,,,MONTO TOTAL,1237.6,0.0,0.0
2026-05-15 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,7.0,8,,46150,CANT. CONTACTOS ,10.0,0.0,0.0,,46165,CANT. CONTACTOS ,14.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,375.9,4695.0,5070.9,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-16 00:00:00,CANTIDAD ,2.0,0.0,0.0,1.0,0.0,16.0,19,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,837.4,0.0,0.0,101.4,0.0,3717.5,4656.3,,,MONTO TOTAL,204.4,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-17 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,46151,CANT. CONTACTOS ,6.0,3.0,0.0,,46166,CANT. CONTACTOS ,7.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1448.9,1448.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-18 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,1.0,1.0,4,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,584.4,0.0,0.0,0.0,280.0,239.6,1104,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-19 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,6.0,7,,46152,CANT. CONTACTOS ,14.0,0.0,0.0,,46167,CANT. CONTACTOS ,19.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,174.2,871.3,1045.5,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-20 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,1.0,12.0,14,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,69.0,0.0,0.0,0.0,74.9,3274.2,3418.1,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-21 00:00:00,CANTIDAD ,3.0,0.0,0.0,4.0,1.0,9.0,17,,46153,CANT. CONTACTOS ,16.0,1.0,0.0,,46168,CANT. CONTACTOS ,22.0,5.0,1.0
,MONTO ,511.0,0.0,0.0,1377.0,334.0,2329.6,4551.6,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-22 00:00:00,CANTIDAD ,6.0,0.0,0.0,0.0,2.0,12.0,20,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,1237.6,0.0,0.0,0.0,454.3,1913.8,3605.7,,,MONTO TOTAL,658.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-23 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,0.0,13.0,14,,46154,CANT. CONTACTOS ,5.0,3.0,0.0,,46169,CANT. CONTACTOS ,16.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,161.4,0.0,3875.1,4036.5,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-24 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,3.0,4,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,74.9,782.6,857.5,,,MONTO TOTAL,330.6,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-25 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,7.0,9,,46155,CANT. CONTACTOS ,8.0,0.0,0.0,,46170,CANT. CONTACTOS ,12.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,296.6,74.9,2506.6,2878.1,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-05-26 00:00:00,CANTIDAD ,0.0,0.0,0.0,2.0,1.0,10.0,13,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,755.4,422.0,2667.8,3845.2,,,MONTO TOTAL,197.4,0.0,0.0,,,MONTO TOTAL,404.9,0.0,0.0
2026-05-27 00:00:00,CANTIDAD ,0.0,0.0,0.0,2.0,1.0,7.0,10,,46156,CANT. CONTACTOS ,7.0,4.0,0.0,,46171,CANT. CONTACTOS ,17.0,3.0,0.0
,MONTO ,0.0,0.0,0.0,483.8,146.6,2510.9,3141.3,,,CANT. VENTAS ,,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-05-28 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,1.0,6.0,9,,,TASA DE VENTA ,0.01,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,404.9,0.0,0.0,938.8,137.4,1993.3,3474.4,,,MONTO TOTAL,333.3,0.0,0.0,,,MONTO TOTAL,637.9,0.0,0.0
2026-05-29 00:00:00,CANTIDAD ,1.0,0.0,0.0,2.0,0.0,8.0,11,,46157,CANT. CONTACTOS ,11.0,4.0,0.0,,46172,CANT. CONTACTOS ,12.0,3.0,1.0
,MONTO ,637.9,0.0,0.0,576.3,0.0,1043.1,2257.3,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-05-30 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,15.0,17,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,523.8,398.0,5699.5,6621.3,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-05-31 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,2.0,3,,,,,,,,46173,CANT. CONTACTOS ,11.0,4.0,1.0
,MONTO ,0.0,0.0,0.0,0.0,190.7,418.8,609.5,,,,,,,,,CANT. VENTAS ,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,TASA DE VENTA ,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,MONTO TOTAL,0.0,0.0,0.0
